STATE CODE,,2011,2012,2013,2014,2015
US,,,,,,
US,,,,,,
US,Number of Wells Producing Natural Gas at End of Year,,,,,
US,Oil Wells,181241,195869,203990,215815,215867
US,Gas Wells,574593,577916,572742,565951,555364
US,,,,,,
US,Production (million cubic feet),,,,,
US,Gross Withdrawals,,,,,
US,From Gas Wells,12291070,12504227,10759545,10123418,9784840
US,From Oil Wells,5907919,4965833,5404699,5999955,6452680
US,From Coalbed Wells,1779055,1539395,1425783,1307072,1181320
US,From Shale Gas Wells,8500983,10532858,11932524,13974936,15475887
US,,,,,,
US,Total,28479026,29542313,29522551,31405381,32894727
US,,,,,,
US,Repressuring,3365313,3277588,3331456,3291091,3410693
US,Vented and Flared,209439,212848,260394,293916,278623
US,Nonhydrocarbon Gases Removed,867922,768598,368469,322620,452477
US,Marketed Production,24036352,25283278,25562232,27497754,28752935
US,"NGPL Production, Gaseous Equivalent",1134473,1250012,1356709,1608148,1693432
US,,,,,,
US,Total Dry Production,22901879,24033266,24205523,25889605,27059503
US,,,,,,
US,Supply (million cubic feet),,,,,
US,Dry Production,22901879,24033266,24205523,25889605,27059503
US,Receipts at U.S. Borders,,,,,
US,Imports,3468693,3137789,2883355,2695378,2718094
US,Intransit Receipts,110740,60054,94841,61973,61728
US,Withdrawals from Storage,,,,,
US,Underground Storage,3074251,2818148,3701510,3585867,3100594
US,LNG Storage,33575,26955,42270,64056,51127
US,Supplemental Gas Supplies,60088,61366,54650,59642,58625
US,Balancing Item,-130108,-123053,-15729,-310301,-257196
US,,,,,,
US,Total Supply,29519119,30014525,30966421,32046221,32792473
US,,,,,,
US,Disposition (million cubic feet),,,,,
US,Consumption,24477425,25538486,26155071,26593375,27306285
US,Deliveries at U.S. Borders,,,,,
US,Exports,1505650,1618828,1572413,1514242,1783512
US,Intransit Deliveries,74231,3339,41314,35163,5163
US,Additions to Storage,,,,,
US,Underground Storage,3421813,2825427,3155661,3838826,3639015
US,LNG Storage,39999,28445,41961,64615,58498
US,,,,,,
US,Total Disposition,29519119,30014525,30966421,32046221,32792473
US,,,,,,
US,Consumption (million cubic feet),,,,,
US,Lease Fuel,938340,987957,1068289,1086905,1152946
US,Pipeline and Distribution Use,687784,730790,833061,700150,666214
US,Plant Fuel,384248,408316,414796,425238,433595
US,Delivered to Consumers,,,,,
US,Residential,4713777,4149519,4897372,5087471,4609670
US,Commercial,3155319,2894926,3295301,3466308,3198797
US,Industrial,6994120,7226215,7425452,7646039,7534589
US,Vehicle Fuel,29974,29970,30044,35282,39379
US,Electric Power,7573863,9110793,8190756,8145982,9671095
US,,,,,,
US,Total Delivered to Consumers,22467053,23411423,23838925,24381082,25053530
US,,,,,,
US,Total Consumption,24477425,25538486,26155071,26593375,27306285
US,,,,,,
US,Delivered for the Account of Others,,,,,
US,(million cubic feet),,,,,
US,Residential,550444,534298,676657,733941,659689
US,Commercial,1394183,1354780,1519352,1600088,1489576
US,Industrial,5856115,6055805,6194960,6509864,6399710
US,Number of Consumers,,,,,
US,Residential,65940522,66375134,66812393,67196751,67873861
US,Commercial,5319817,5356397,5372522,5413546,5449180
US,Industrial,189301,189372,192288,192139,188585
US,,,,,,
US,Average Annual Consumption per,,,,,
US,Consumer (thousand cubic feet),,,,,
US,Commercial,593,540,613,640,587
US,Industrial,36947,38159,38616,39794,39953
US,,,,,,
US,Average Price for Natural Gas,,,,,
US,(dollars per thousand cubic feet),,,,,
US,Imports,4.24,2.88,3.83,5.3,2.99
US,Exports,4.64,3.25,4.08,5.51,3.07
US,Citygate,5.63,4.73,4.88,5.71,4.26
US,Delivered to Consumers,,,,,
US,Residential,11.03,10.65,10.32,10.97,10.38
US,Commercial,8.91,8.1,8.08,8.9,7.91
US,Industrial,5.13,3.88,4.64,5.62,3.91
US,Electric Power,4.89,3.54,4.49,5.19,3.37
