VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,10,1,Numeric
DOEID,4-digit identification number,10,2,Numeric
REGIONC,Census Region,10,3,Numeric
DIVISION,Census Division,10,4,Numeric
LRGSTATE,Four Largest States,10,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),10,6,Numeric
MQRESULT,Mail Questionnaire Codes,10,7,Numeric
NWEIGHT,The Final Weight,10,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),10,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),10,10,Numeric
KAVALEL,Electric Paid by Household or Someone Else,10,11,Numeric
PERIODEL,Period of Time Electric Data Available,10,12,Numeric
ORIGELQ,Source of Estimated Quantity Of Electricity,10,13,Numeric
ORIGELC,Source of Estimated Cost Of Electricity,10,14,Numeric
ORIGELS,Summary Code For Source Of Electric Data,10,15,Numeric
BEGINELR,Type Electric Reading On Beginning Date,10,16,Numeric
ENDELR,Type Electric Reading On Ending Date,10,17,Numeric
KAVALNG,Natural Gas Paid by Household or Someone Else,10,18,Numeric
PERIODNG,Period Of Time Natural Gas Data Available,10,19,Numeric
ORIGNGQ,Source Of Estimated Quantity Of Natural Gas,10,20,Numeric
ORIGNGC,Source Of Estimated Cost Of Natural Gas,10,21,Numeric
ORIGNGS,Summary Code For Source Of Natural Gas Data,10,22,Numeric
BEGINNGR,Type Natural Gas Reading On Beginning Date,10,23,Numeric
ENDNGR,Type Natural Gas Reading On Ending Date,10,24,Numeric
KAVALFO,Fuel Oil Paid by Household or Someone Else,10,25,Numeric
PERIODFO,Period Of Time Fuel Oil Data Available,10,26,Numeric
ORIGFOQ,Source Of Estimated Quantity Of Fuel Oil,10,27,Numeric
SCALEFO,Fuel Oil Use Scaled Down For Non household Uses,10,28,Numeric
ORIGFOC,Source Of Estimated Cost Of Fuel Oil,10,29,Numeric
ORIGFOS,Summary Code For Source Of Fuel Oil Data,10,30,Numeric
KAVALLPG,LPG Paid by Household or Someone Else,10,31,Numeric
PERIODLP,Period Of Time LPG Data Available,10,32,Numeric
ORIGLPQ,Source Of Estimated Quantity Of LPG,10,33,Numeric
SCALELP,LP Use Scaled Down For Non household Uses,10,34,Numeric
ORIGLPC,Source Of Estimated Cost Of LPG,10,35,Numeric
ORIGLPS,Summary Code For Source Of LPG Data,10,36,Numeric
KAVALKER,Kerosene Paid by Household or Someone Else,10,37,Numeric
PERIODKR,Time Period Kerosene Data Available,10,38,Numeric
ORIGKERQ,Source Estimated Kerosene Quantity,10,39,Numeric
SCALEKER,Kerosene Use Scaled Down Non Household Uses,10,40,Numeric
ORIGKERC,Source Of Estimated Kerosene Cost,10,41,Numeric
ORIGKERS,Summary Code Kerosene Data Source,10,42,Numeric
