VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,8,1,Numeric
DOEID,4-digit identification number,8,2,Numeric
REGIONC,Census Region,8,3,Numeric
DIVISION,Census Division,8,4,Numeric
LRGSTATE,Four Largest States,8,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),8,6,Numeric
MQRESULT,Mail Questionnaire Codes,8,7,Numeric
NWEIGHT,The Final Weight,8,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),8,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),8,10,Numeric
HBUSNESS,Do you operate a home-based business or service,8,11,Numeric
OTHWORK,Any other kind of activity use a lot more energy,8,12,Numeric
ATHOME,Is someone at home all day on a typical weekday,8,13,Numeric
HHINTRO,Are you a householder,8,14,Numeric
HHSEX,Are you/is the householder a male or a female,8,15,Numeric
HHAGE,How old are you/is the householder,8,16,Numeric
EMPLOYHH,How would you describe employment status,8,17,Numeric
SPOUSE,Household living with a spouse/partner,8,18,Numeric
SDESCENT,Householder Hispanic or Latino,8,19,Numeric
ORIGIN1,First mention describe the householders race,8,20,Numeric
ORIGIN2,Second mention describe the householders race,8,21,Numeric
ORIGIN3,Third mention describe the householders race,8,22,Numeric
NHSLDMEM,How many people normally live in this household,8,23,Numeric
AGEHHMEM1,Age of the householder,8,24,Numeric
AGEHHMEM2,Age of the next oldest household member,8,25,Numeric
AGEHHMEM3,Age of the next oldest household member,8,26,Numeric
AGEHHMEM4,Age of the next oldest household member,8,27,Numeric
AGEHHMEM5,Age of the next oldest household member,8,28,Numeric
AGEHHMEM6,Age of the next oldest household member,8,29,Numeric
AGEHHMEM7,Age of the next oldest household member,8,30,Numeric
AGEHHMEM8,Age of the next oldest household member,8,31,Numeric
AGEHHMEM9,Age of the next oldest household member,8,32,Numeric
AGEHHMEM10,Age of the next oldest household member,8,33,Numeric
AGEHHMEM11,Age of the next oldest household member,8,34,Numeric
AGEHHMEM12,Age of the next oldest household member,8,35,Numeric
AGEHHMEMY,Age of the yountest household member,8,36,Numeric
WORKPAY,Employment income from wages and salaries,8,37,Numeric
RETIREPY,Retirement income from social security or pension,8,38,Numeric
CASHBEN,Cash benefits from temporary assistance,8,39,Numeric
NCASHBEN,Non-cash benefits from food stamps,8,40,Numeric
MONEYPY,Total combined income in the past 12 months,8,41,Numeric
HHINCOME,Mid-point of MONEYPY range ,8,42,Numeric
POOR100,Below 100 percent of poverty,8,43,Numeric
POOR125,Below 125 percent of poverty,8,44,Numeric
POOR150,Below 150 percent of poverty,8,45,Numeric
LIHEAP,LIHEAP eligibility flag,8,46,Numeric
ZOTHWORK,Imputation Flag for OTHWORK,8,47,Numeric
ZATHOME,Imputation Flag for ATHOME,8,48,Numeric
ZHHINTRO,Imputation Flag for HHINTRO,8,49,Numeric
ZHHSEX,Imputation Flag for HHSEX,8,50,Numeric
ZHHAGE,Imputation Flag for HHAGE,8,51,Numeric
ZEMPLOYHH,Imputation Flag for EMPLOYHH,8,52,Numeric
ZSPOUSE,Imputation Flag for SPOUSE,8,53,Numeric
ZSDESCENT,Imputation Flag for SDESCENT,8,54,Numeric
ZORIGIN1,Imputation Flag for ORIGIN1,8,55,Numeric
ZORIGIN2,Imputation Flag for ORIGIN2,8,56,Numeric
ZORIGIN3,Imputation Flag for ORIGIN3,8,57,Numeric
ZNHSLDMEM,Imputation Flag for NHSLDMEM,8,58,Numeric
ZAGEHHMEM1,Imputation Flag for AGEHHMEM1,8,59,Numeric
ZAGEHHMEM2,Imputation Flag for AGEHHMEM2,8,60,Numeric
ZAGEHHMEM3,Imputation Flag for AGEHHMEM3,8,61,Numeric
ZAGEHHMEM4,Imputation Flag for AGEHHMEM4,8,62,Numeric
ZAGEHHMEM5,Imputation Flag for AGEHHMEM5,8,63,Numeric
ZAGEHHMEM6,Imputation Flag for AGEHHMEM6,8,64,Numeric
ZAGEHHMEM7,Imputation Flag for AGEHHMEM7,8,65,Numeric
ZAGEHHMEM8,Imputation Flag for AGEHHMEM8,8,66,Numeric
ZAGEHHMEM9,Imputation Flag for AGEHHMEM9,8,67,Numeric
ZAGEHHMEM10,Imputation Flag for AGEHHMEM10,8,68,Numeric
ZAGEHHMEM11,Imputation Flag for AGEHHMEM11,8,69,Numeric
ZAGEHHMEM12,Imputation Flag for AGEHHMEM12,8,70,Numeric
ZAGEHHMEMY,Imputation Flag for AGEHHMEMY,8,71,Numeric
ZWORKPAY,Imputation Flag for WORKPAY,8,72,Numeric
ZRETIREPY,Imputation Flag for RETIREPY,8,73,Numeric
ZCASHBEN,Imputation Flag for CASHBEN,8,74,Numeric
ZNCASHBEN,Imputation Flag for NCASHBEN,8,75,Numeric
ZMONEYPY,Imputation Flag for MONEYPY,8,76,Numeric
ZHBUSNESS,Imputation Flag for HBUSNESS,8,77,Numeric
