VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,4,1,Numeric
DOEID,4-digit identification number,4,2,Numeric
REGIONC,Census Region,4,3,Numeric
DIVISION,Census Division,4,4,Numeric
LRGSTATE,Four Largest States,4,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),4,6,Numeric
MQRESULT,Mail Questionnaire Codes,4,7,Numeric
NWEIGHT,The Final Weight,4,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),4,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),4,10,Numeric
DNTHEAT,Have any heating equipment  Use it or not,4,11,Numeric
EQUIPAGE,How old is equipment identified in D-2 heat system,4,12,Numeric
HEATOTH,Main heating system also heat other apartments,4,13,Numeric
EQUIPAUX,Use any other types of equipment to heat home,4,14,Numeric
REVERSE,Sec Ht Eqp Heat pump,4,15,Numeric
WARMAIR,Sec Ht Eqp Central warm-air furnace with ducts,4,16,Numeric
STEAMR,Sec Ht Eqp Steam system with radiators/convectors,4,17,Numeric
PERMELEC,Sec Ht Eqp Built-in electric units in each room,4,18,Numeric
PIPELESS,Sec Ht Eqp Built-in floor/wall pipeless furnace,4,19,Numeric
ROOMHEAT,Sec Ht Eqp Built-in room heater burning,4,20,Numeric
WOODKILN,Sec Ht Eqp Heating stove burning wood  coal  coke,4,21,Numeric
CARRYEL,Sec Ht Eqp Portable electric heaters,4,22,Numeric
CARRYKER,Sec Ht Eqp Portable kerosene heaters,4,23,Numeric
CHIMNEY,Sec Ht Eqp Fireplace,4,24,Numeric
RANGE,Sec Ht Eqp Cooking stove,4,25,Numeric
DIFEQUIP,Sec Ht Eqp Some other equipment,4,26,Numeric
DKEQUIP,Sec Ht Eqp Dont know,4,27,Numeric
ELECAUX,Secondary heating fuel - Electricity,4,28,Numeric
UGASAUX,Secondary heating fuel - Natural Gas,4,29,Numeric
LPGAUX,Secondary heating fuel - LPG,4,30,Numeric
FOILAUX,Secondary heating fuel - Fuel Oil,4,31,Numeric
KEROAUX,Secondary heating fuel - Kerosene,4,32,Numeric
WOODAUX,Secondary heating fuel - Wood,4,33,Numeric
SOLARAUX,Secondary heating fuel - Solar,4,34,Numeric
OTHERAUX,Secondary heating fuel - Other,4,35,Numeric
DKAUX,Secondary heating fuel - Dont know,4,36,Numeric
FURNFUEL,What fuel used in secondary warm air furnace,4,37,Numeric
RADFUEL,What fuel used in secondary boiler for radiator,4,38,Numeric
DIFFUEL,What fuel used in secondary other equipment,4,39,Numeric
PIPEFUEL,What fuel used in secondary pipelines furnace,4,40,Numeric
RMHTFUEL,What fuel used in secondary room heater,4,41,Numeric
HSFUEL,What fuel used in secondary heating stove,4,42,Numeric
FPFUEL,What fuel used in secondary fireplace,4,43,Numeric
NGFPFLUE,Does this fireplace have a flue to the outside,4,44,Numeric
USENGFP,During the winter how often use gas fireplace,4,45,Numeric
RNGFUEL,What fuel used in secondary cooking stove,4,46,Numeric
EQMAMT,How much heat main heating equipment provides,4,47,Numeric
THERMAIN,Have a thermostat controls main heating equipment,4,48,Numeric
NUMTHERM,How many thermostats are used,4,49,Numeric
PROTHERM,Is that thermostat programmable,4,50,Numeric
AUTOHEATNITE,Programmable thermostat lowers heat at night,4,51,Numeric
AUTOHEATDAY,Programmable therm lowers heat during the day,4,52,Numeric
TEMPHOME,Setting During the day when someone is home,4,53,Numeric
TEMPGONE,Setting During the day when no one is home,4,54,Numeric
TEMPNITE,Setting During sleeping hours,4,55,Numeric
HEATOFF,Number of rooms not heated last winter,4,56,Numeric
HEATROOM,Did you heat all rooms last winter,4,57,Numeric
HEATNOT,How many of rooms were not heated last winter,4,58,Numeric
OTHNOHT,Any other spaces were not heated last winter,4,59,Numeric
ZFUELHEAT,Imputation Flag for FUELHEAT,4,60,Numeric
ZDNTHEAT,Imputation Flag for DNTHEAT,4,61,Numeric
ZEQUIPM,Imputation Flag for EQUIPM,4,62,Numeric
ZEQUIPAGE,Imputation Flag for EQUIPAGE,4,63,Numeric
ZHEATOTH,Imputation Flag for HEATOTH,4,64,Numeric
ZEQUIPAUX,Imputation Flag for EQUIPAUX,4,65,Numeric
ZREVERSE,Imputation Flag for REVERSE,4,66,Numeric
ZWARMAIR,Imputation Flag for WARMAIR,4,67,Numeric
ZSTEAMR,Imputation Flag for STEAMR,4,68,Numeric
ZPERMELEC,Imputation Flag for PERMELEC,4,69,Numeric
ZPIPELESS,Imputation Flag for PIPELESS,4,70,Numeric
ZROOMHEAT,Imputation Flag for ROOMHEAT,4,71,Numeric
ZWOODKILN,Imputation Flag for WOODKILN,4,72,Numeric
ZCARRYEL,Imputation Flag for CARRYEL,4,73,Numeric
ZCARRYKER,Imputation Flag for CARRYKER,4,74,Numeric
ZCHIMNEY,Imputation Flag for CHIMNEY,4,75,Numeric
ZRANGE,Imputation Flag for RANGE,4,76,Numeric
ZDIFEQUIP,Imputation Flag for DIFEQUIP,4,77,Numeric
ZDKEQUIP,Imputation Flag for DKEQUIP,4,78,Numeric
ZELECAUX,Imputation Flag for ELECAUX,4,79,Numeric
ZUGASAUX,Imputation Flag for UGASAUX,4,80,Numeric
ZLPGAUX,Imputation Flag for LPGAUX,4,81,Numeric
ZFOILAUX,Imputation Flag for FOILAUX,4,82,Numeric
ZKEROAUX,Imputation Flag for KEROAUX,4,83,Numeric
ZWOODAUX,Imputation Flag for WOODAUX,4,84,Numeric
ZSOLARAUX,Imputation Flag for SOLARAUX,4,85,Numeric
ZOTHERAUX,Imputation Flag for OTHERAUX,4,86,Numeric
ZDKAUX,Imputation Flag for DKAUX,4,87,Numeric
ZFURNFUEL,Imputation Flag for FURNFUEL,4,88,Numeric
ZRADFUEL,Imputation Flag for RADFUEL,4,89,Numeric
ZDIFFUEL,Imputation Flag for DIFFUEL,4,90,Numeric
ZPIPEFUEL,Imputation Flag for PIPEFUEL,4,91,Numeric
ZRMHTFUEL,Imputation Flag for RMHTFUEL,4,92,Numeric
ZHSFUEL,Imputation Flag for HSFUEL,4,93,Numeric
ZFPFUEL,Imputation Flag for FPFUEL,4,94,Numeric
ZNGFPFLUE,Imputation Flag for NGFPFLUE,4,95,Numeric
ZUSENGFP,Imputation Flag for USENGFP,4,96,Numeric
ZRNGFUEL,Imputation Flag for RNGFUEL,4,97,Numeric
ZEQMAMT,Imputation Flag for EQMAMT,4,98,Numeric
ZTHERMAIN,Imputation Flag for THERMAIN,4,99,Numeric
ZOTHTHERM,Imputation Flag for OTHTHERM,4,100,Numeric
ZNUMTHERM,Imputation Flag for NUMTHERM,4,101,Numeric
ZPROTHERM,Imputation Flag for PROTHERM,4,102,Numeric
ZAUTOHEATNITE,Imputation Flag for AUTOHEATNITE,4,103,Numeric
ZAUTOHEATDAY,Imputation Flag for AUTOHEATDAY,4,104,Numeric
ZTEMPHOME,Imputation Flag for TEMPHOME,4,105,Numeric
ZTEMPGONE,Imputation Flag for TEMPGONE,4,106,Numeric
ZTEMPNITE,Imputation Flag for TEMPNITE,4,107,Numeric
ZHEATOFF,Imputation Flag for HEATOFF,4,108,Numeric
ZHEATROOM,Imputation Flag for HEATROOM,4,109,Numeric
ZHEATNOT,Imputation Flag for HEATNOT,4,110,Numeric
ZOTHNOHT,Imputation Flag for OTHNOHT,4,111,Numeric
FUELHEAT,Main fuel used for heating home,4,112,Numeric
EQUIPM,Type of heating equipment provides the heat,4,113,Numeric
