VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,6,1,Numeric
DOEID,4-digit identification number,6,2,Numeric
REGIONC,Census Region,6,3,Numeric
DIVISION,Census Division,6,4,Numeric
LRGSTATE,Four Largest States,6,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),6,6,Numeric
MQRESULT,Mail Questionnaire Codes,6,7,Numeric
NWEIGHT,The Final Weight,6,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),6,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),6,10,Numeric
USEEL,HH uses electricity,6,11,Numeric
USENG,HH uses utility gas,6,12,Numeric
USELP,HH uses LPG,6,13,Numeric
USEFO,HH uses Fuel oil,6,14,Numeric
USEKERO,HH uses Kerosene,6,15,Numeric
USEWOOD,HH uses Wood,6,16,Numeric
USESOLAR,HH uses solar,6,17,Numeric
USEOTH,HH uses other fuel,6,18,Numeric
ELWARM,Electricity used for heat,6,19,Numeric
ELFOOD,Electricity used to cook,6,20,Numeric
ELWATER,Electricity used for H2O,6,21,Numeric
ELCOOL,Electricity used to cool,6,22,Numeric
ELOTHER,Electricity used for other,6,23,Numeric
UGWARM,Natural gas used for heat,6,24,Numeric
UGWATER,Natural gas used for H2O,6,25,Numeric
UGCOOK,Natural gas used to cook,6,26,Numeric
UGOTH,Natural gas used for other,6,27,Numeric
LPWARM,Bottled gas used for heat,6,28,Numeric
LPWATER,Bottled gas used for H2O,6,29,Numeric
LPCOOK,Bottled gas used to cook,6,30,Numeric
LPGRILL,Bottled gas used to grill,6,31,Numeric
LPOTHER,Bottled gas used for other,6,32,Numeric
FOWARM,Fuel oil used for heat,6,33,Numeric
FOWATER,Fuel oil used for H2O,6,34,Numeric
FOOTHER,Fuel oil used for other,6,35,Numeric
KRWARM,Kerosene used for heat,6,36,Numeric
KRWATER,Kerosene used for H2O,6,37,Numeric
KROTHER,Kerosene used for other,6,38,Numeric
WDWARM,Wood used for heat,6,39,Numeric
WDWATER,Wood used for H2O,6,40,Numeric
WDOTHER,Wood used for other,6,41,Numeric
SOLWARM,Solar used for heat,6,42,Numeric
SOLWATER,Solar used for H2O,6,43,Numeric
SOLPOOL,Solar used to heat pool,6,44,Numeric
SOLOTHER,Solar used for other,6,45,Numeric
OTHCOOK,Other fuel used to cook,6,46,Numeric
