VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,12,1,Numeric
DOEID,4-digit identification number,12,2,Numeric
REGIONC,Census Region,12,3,Numeric
DIVISION,Census Division,12,4,Numeric
LRGSTATE,Four Largest States,12,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),12,6,Numeric
MQRESULT,Mail Questionnaire Codes,12,7,Numeric
NWEIGHT,The Final Weight,12,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),12,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),12,10,Numeric
DOLLAREL,Estimated Cost Of Electricity In Dollars,12,11,Numeric
DOLLARNG,Estimated Cost Of Natural Gas In Dollars,12,12,Numeric
DOLLARFO,Estimated Cost Of Fuel Oil In Dollars,12,13,Numeric
DOLLARLP,Estimated Cost Of LPG In Dollars,12,14,Numeric
DOLLARKR,Estimated Kerosene Cost In Dollars,12,15,Numeric
DOLELCDR,Electric Clothes Dryer Use (Estimated) In Dollars,12,16,Numeric
DOLELDWH,Electric Dishwasher Use (Estimated) In Dollars,12,17,Numeric
DOLELFZZ,Electric Freezer Use (Estimated) In Dollars,12,18,Numeric
DOLELRFG,Electric Refrigerator Use (Estimated) In Dollars,12,19,Numeric
DOLELCOL,Electric AC Use (Estimated) In Dollars,12,20,Numeric
DOLELWTH,Electric Water Heating Use (Estimated) In Dollars,12,21,Numeric
DOLELSPH,Electric Space Heat Use (Estimated) In Dollars,12,22,Numeric
DOLELAPL,Electric Appliance Use (Estimated) In Dollars,12,23,Numeric
DOLNGAPL,Natural Gas Appliance Use (Estimated) In Dollars,12,24,Numeric
DOLNGWTH,Natural Gas Water Heat Use (Estimated) In Dollars,12,25,Numeric
DOLNGSPH,Natural Gas Space Heat Use (Estimated) In Dollars,12,26,Numeric
DOLFOAPL,Fuel Oil Appliance Use (Estimated) In Dollars,12,27,Numeric
DOLFOSPH,Fuel Oil Space Heat Use (Estimated) In Dollars,12,28,Numeric
DOLFOWTH,Fuel Oil Water Heat Use (Estimated) In Dollars,12,29,Numeric
DOLLPAPL,LPG Appliance Use (Estimated) In Dollars,12,30,Numeric
DOLLPSPH,LPG Space Heat Use (Estimated) In Dollars,12,31,Numeric
DOLLPWTH,LPG Water Heat Use (Estimated) In Dollars,12,32,Numeric
