VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,7,1,Numeric
DOEID,4-digit identification number,7,2,Numeric
REGIONC,Census Region,7,3,Numeric
DIVISION,Census Division,7,4,Numeric
LRGSTATE,Four Largest States,7,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),7,6,Numeric
MQRESULT,Mail Questionnaire Codes,7,7,Numeric
NWEIGHT,The Final Weight,7,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),7,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),7,10,Numeric
SIGNFORM,Authorization form signed,7,11,Numeric
KFUELOT,Household fuel bills cover non-households uses,7,12,Numeric
FARM,Bills include farm/machine use,7,13,Numeric
TENANT,Bills cover fuel of other HH,7,14,Numeric
BUSINESS,Bills cover business/office,7,15,Numeric
OTHERUSE,Bills cover fuel for other use,7,16,Numeric
BILLUG,Natural gas used for other purposes,7,17,Numeric
BLPUSE,LPG used for other purposes,7,18,Numeric
BILLFOIL,Fuel oil used for other purposes,7,19,Numeric
BILLKER,Kerosene used for other purposes,7,20,Numeric
BILLEL,Electricity used for other purposes,7,21,Numeric
BILLUGP,Amount of Natural gas used for other purposes,7,22,Numeric
BILLLGP,Amount of LPG used for other purposes,7,23,Numeric
BILLFOP,Amonunt of fuel oil used for other purposes,7,24,Numeric
BILLKERP,Amount of kerosene used for other purposes,7,25,Numeric
BILLELP,Amount of electricity used for other purposes,7,26,Numeric
ZFOPAY,Imputation Flag for FOPAY,7,27,Numeric
ZLPGPAY,Imputation Flag for LPGPAY,7,28,Numeric
ZOTHERWAYEL,Imputation Flag for OTHERWAYEL,7,29,Numeric
ZOTHERWAYNG,Imputation Flag for OTHERWAYNG,7,30,Numeric
ZOTHERWAYFO,Imputation Flag for OTHERWAYFO,7,31,Numeric
ZOTHERWAYLPG,Imputation Flag for OTHERWAYLPG,7,32,Numeric
ZLPGDELV,Imputation Flag for LPGDELV,7,33,Numeric
ZNDIFLPCO,Imputation Flag for NDIFLPCO,7,34,Numeric
ZNLPDELNC,Imputation Flag for NLPDELNC,7,35,Numeric
ZQUANTFO,Imputation Flag for QUANTFO,7,36,Numeric
ZFODEL,Imputation Flag for FODEL,7,37,Numeric
ZNDIFFOCO,Imputation Flag for NDIFFOCO,7,38,Numeric
ZNFODELNC,Imputation Flag for NFODELNC,7,39,Numeric
ZKERODEL,Imputation Flag for KERODEL,7,40,Numeric
ZNDIFKRCO,Imputation Flag for NDIFKRCO,7,41,Numeric
ZKEROCASH,Imputation Flag for KEROCASH,7,42,Numeric
ZNOCRCASH,Imputation Flag for NOCRCASH,7,43,Numeric
ZNKRGALNC,Imputation Flag for NKRGALNC,7,44,Numeric
ZPRICEKER,Imputation Flag for PRICEKER,7,45,Numeric
ZTOTPAYKR,Imputation Flag for TOTPAYKR,7,46,Numeric
ZWOODLOGS,Imputation Flag for WOODLOGS,7,47,Numeric
ZWDSCRAP,Imputation Flag for WDSCRAP,7,48,Numeric
ZWDPELLET,Imputation Flag for WDPELLET,7,49,Numeric
ZWOODAMT,Imputation Flag for WOODAMT,7,50,Numeric
ZCORDPLUS,Imputation Flag for CORDPLUS,7,51,Numeric
ZCORDPLUSA,Imputation Flag for CORDPLUSA,7,52,Numeric
ZSIGNFORM,Imputation Flag for SIGNFORM,7,53,Numeric
ZKFUELOT,Imputation Flag for KFUELOT,7,54,Numeric
ZFARM,Imputation Flag for FARM,7,55,Numeric
ZTENANT,Imputation Flag for TENANT,7,56,Numeric
ZBUSINESS,Imputation Flag for BUSINESS,7,57,Numeric
ZOTHERUSE,Imputation Flag for OTHERUSE,7,58,Numeric
ZBILLUG,Imputation Flag for BILLUG,7,59,Numeric
ZBILLFOIL,Imputation Flag for BILLFOIL,7,60,Numeric
ZBILLKER,Imputation Flag for BILLKER,7,61,Numeric
ZBILLEL,Imputation Flag for BILLEL,7,62,Numeric
ZBILLUGP,Imputation Flag for BILLUGP,7,63,Numeric
ZBILLLGP,Imputation Flag for BILLLGP,7,64,Numeric
ZBILLKERP,Imputation Flag for BILLKERP,7,65,Numeric
ZBILLELP,Imputation Flag for BILLELP,7,66,Numeric
